model,status,success,load_seconds,generation_seconds,wall_seconds,audio_seconds,rtf,x_realtime,chars_per_second,audio_seconds_per_1k_chars,sample_rate,output_bytes,peak_cpu_percent,peak_ram_mb,peak_gpu_util_percent,peak_vram_mb,model_vram_mb,realtime_capable,gpu_name,note,error
NAMAA-Egyptian-TTS,error,0,0.0,0.0,352.45,0.0,,,,,,,87.5,1303.6,0.0,552.2,0.0,,Tesla T4,,"ValueError: numpy.dtype size changed, may indicate binary incompatibility. Expected 96 from C header, got 88 from PyObject"
Chatterbox-Multilingual-V3,error,0,0.0,0.0,28.44,0.0,,,,,,,98.7,815.2,0.0,552.2,0.0,,Tesla T4,,ModuleNotFoundError: Could not import module 'LlamaModel'. Are this object's requirements defined correctly?
VoiceTut-TTS,error,0,0.0,0.0,35.19,0.0,,,,,,,116.7,676.2,0.0,552.2,0.0,,Tesla T4,,ModuleNotFoundError: Could not import module 'HiggsAudioV2TokenizerModel'. Are this object's requirements defined correctly?
SILMA-TTS,error,0,0.0,0.0,84.1,0.0,,,,,,,116.9,909.1,0.0,552.2,0.0,,Tesla T4,,ImportError: libcudart.so.13: cannot open shared object file: No such file or directory
