model,model_id,load_mode,dtype,runs,ok,failed,success_rate_percent,auto_pass,auto_pass_rate_percent,avg_overall_score,avg_language_score,avg_correctness_score,avg_instruction_following_score,avg_conciseness_score,avg_tts_suitability_score,avg_tool_accuracy,avg_load_seconds,avg_first_token_seconds,min_first_token_seconds,max_first_token_seconds,std_first_token_seconds,avg_generate_seconds,min_generate_seconds,max_generate_seconds,avg_tokens_per_second,min_tokens_per_second,max_tokens_per_second,std_tokens_per_second,avg_completion_tokens,avg_prompt_tokens,avg_chars_per_second,peak_cpu_percent,peak_ram_mb,peak_sys_ram_mb,peak_sys_ram_percent,peak_gpu_util_percent,peak_vram_mb,model_vram_mb
Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,bf16,bfloat16,20,20,0,100.0,15,75.0,4.411,5.0,4.0,4.2,4.8,4.85,0.6,138.72,0.947,0.551,2.276,0.659,3.774,1.042,12.718,10.48,4.71,16.96,3.77,46.0,275.7,25.4,139.8,6116.8,4027.7,33.7,100.0,8758.2,8206.0
Qwen3-8B,Qwen/Qwen3-8B,int4,bfloat16,20,20,0,100.0,17,85.0,4.654,5.0,4.4,4.5,5.0,5.0,0.6,313.72,1.942,1.185,4.452,1.229,4.634,1.933,8.452,5.16,1.55,8.23,1.93,25.2,279.7,12.6,142.2,6077.5,4352.3,36.2,100.0,6900.2,6348.0
Gemma3-4B-IT,google/gemma-3-4b-it,,,1,0,1,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemma3-12B-IT,google/gemma-3-12b-it,,,1,0,1,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLaM-7B,ALLaM-AI/ALLaM-7B-Instruct-preview,bf16,bfloat16,20,20,0,100.0,13,65.0,4.247,5.0,3.55,3.85,5.0,5.0,0.4,278.82,2.473,1.291,7.216,2.318,4.294,1.572,12.896,5.62,1.27,10.53,2.91,23.8,403.9,20.8,139.6,6073.8,4146.1,34.6,100.0,15280.2,14728.0
Jais-2-8B,inceptionai/Jais-2-8B-Chat,,,1,0,1,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nile-Chat-4B,MBZUAI-Paris/Nile-Chat-4B,bf16,bfloat16,20,20,0,100.0,4,20.0,2.808,5.0,1.8,2.55,2.5,3.05,0.6,165.63,0.96,0.499,2.435,0.754,13.081,1.521,20.194,11.56,3.6,14.11,2.99,166.2,300.9,32.0,138.2,6163.4,4518.4,37.5,100.0,8394.2,7842.0
